Title,Author Last Name,Author First Nem,Main Genre,Sub-Genre,Read (Y/N),Date Started,Date Completed,Number of Times Read,Cover Value,Price Paid,Year Purchased,Year Read,Purchase Location,Store Name
Sophie's World,Gaarder,Jostein,Fiction,Norwegian,N,,,,$10.00 ,$5.98 ,2017,,San Francisco,Green Apple Books
Sophie's World,Gaarder,Jostein,Fiction,Norwegian,Y,,,,,,,,Canton,Barnes & Noble
Maya,Gaarder,Jostein,Fiction,Norwegian,N,,,,$15.00 ,$15.00 ,2017,,Natal,
O Dia do Curinga,Gaarder,Jostein,Fiction,Norwegian,N,,,,$15.00 ,$15.00 ,2017,,Natal,
Good Omens,Gaiman,Neil,Fiction,British,N,,,,$15.99 ,$15.99 ,2017,,Atlanta,
The Graveyard Book,Gaiman,Neil,Fiction,British,N,,,,$15.99 ,$15.99 ,2015,,Atlanta,
Complications,Gawande,Atul,Science,Medicine,Y,,,,,,,,,
Prayer,Foster,Richard,Religion,Protestantism,N,,,,$24.99 ,$24.99 ,2015,,Atlanta,
The Collected Works of Kahlil Gibran,Gibran,Kalhil,Poetry,Lebanese,N,,,,$30.00 ,$30.00 ,2017,,Atlanta,
The Little Black Book of Connections,Gitomer,Jeffrey,Business,Networking,N,,,,$19.95 ,$19.95 ,2016,,Atlanta,
The Little Red Book of Selling,Gitomer,Jeffrey,Business,Sales,N,,,,$19.95 ,$19.95 ,2015,,Alpharetta,
Blink ,Gladwell,Malcolm,Science,Social Science,Y,13-Jan,13-Jan,1,$17.00 ,$17.00 ,2013,,Atlanta,
Outliers,Gladwell,Malcolm,Science,Social Science,Y,13-Jan,13-Jan,1,$16.99 ,$16.99 ,2013,,Atlanta,
The Tipping Point,Gladwell,Malcolm,Science,Social Science,Y,13-Jan,13-Jan,1,$16.99 ,$10.31 ,2013,,Amazon,
What the Dog Saw,Gladwell,Malcolm,Business,,N,,,,,,,,,
The Dip,Godin,Seth,Business,Marketing,Y,,,1,$12.95 ,$8.00 ,2016,,Oklahoma City,
Purple Cow,Godin,Seth,Business,Marketing,N,,,,$23.95 ,$23.95 ,2017,,Los Angeles,
Free Prize Inside,Godin,Seth,Business,Marketing,N,,,,$12.95 ,$8.00 ,2016,,Oklahoma City,
Tribes,Godin,Seth,Business,Marketing,N,,,,$19.95 ,$19.95 ,2016,,Oklahoma City,
The Icarus Deception,Godin,Seth,Business,Marketing,N,,,,$24.95 ,$24.95 ,2016,,Atlanta,
The Sorrows of Young Werter,Goethe,Johann,Fiction,German,Y,,,,,,,,,
Clinical NeuroAnatomy,Goldberg,Stephen,Medicine,Neuroscience,N,,,,$25.95 ,$25.95 ,2017,,Sacramento,Barnes & Noble
Suicide of the West,Goldberg,Jonah,Politics,American,Y,,May-18,1,$28.00 ,$18.30 ,2018,2018,Online,Amazon
The Goal,Goldratt,Eliyahu,Business,Motivation,Y,12-Jan,13-Jan,1,$24.95 ,$24.95 ,2013,,Atlanta,
Triggers,Goldsmith,Marshall,Business,Habits,N,,,,$27.00 ,$27.00 ,2016,,Atlanta,
"Pope Francis: The Complete Encyclicals, bulls, and 
Apostolic Exhortations",Francis,Pope,Religion,Catholicism,N,,,,$27.95 ,$27.95 ,2017,,Atlanta,
The Carpenter,Gordon,Jon,Business,Parable,Y,17-Jan,17-Jan,1,$23.00 ,$23.00 ,2017,,Atlanta,
The Intelligent Investor,Graham,Benjamin,Business,Finance,N,,,,$22.99 ,$22.99 ,2012,,Atlanta,
Originals,Grant ,Adam,Business,Motivation,Y,16-Jan,16-Jan,1,$27.00 ,$27.00 ,2016,,Atlanta,
The Soul of the Marionette,Gray,John,Philosophy,Philosophy ,N,,,,$23.00 ,$23.00 ,2015,,Atlanta,
The Hidden Reality,Greene,Brian,Science,Science - Physics,N,,,,$29.95 ,$15.00 ,2012,,Kennesaw,
The Art of Seduction,Greene,Robert,Science,Romance,Y,13-Jan,13-Jan,1,$15.99 ,$15.99 ,2013,,Amazon,
The Elegant Universe,Greene,Brian,Science,Physics,Y,10-Jan,10-Jan,1,$19.95 ,$19.95 ,2010,,Kennesaw,
Born For This,Guillebeau,Chris,Business,Entrepreneurship,N,,,,$26.00 ,$26.00 ,2015,,Atlanta,
The $100 Startup ,Guillebeau,Chris,Business,Entrepreneurship,N,,,,$23.00 ,$16.32 ,2014,,Amazon,
The Art of Non-Conformity,Guillebeau,Chris,Business,Self-Help,Y,,,,,,,,,
Side Hustle,Guillebeau,Chris,Business,Entrepreneurship,N,,,,,,,,,
The Happiness of Pursuit,Guillebeau,Chris,Business,Self-Help,N,,,,,,,,,
The Measure of a Man,Getz,Gene,Religion,Protestantism,N,,,,$10.39 ,$10.39 ,2016,,Amazon,
The Story of Christianity Vol. 1,Gonzalez,Justo,Religion,Church History,N,,,,,,,,,
The Story of Christianity Vol. 2,Gonzalez,Justo,Religion,Church History,N,,,,,,,,,
The Historical Jesus,Habermas,Gary,Religion,Protestantism,N,,,,$19.99 ,$0.00 ,2016,,Atlanta,
Reasons to Believe,Hahn,Scott,Religion,Catholicism,N,,,,$25.00 ,$16.37 ,2017,,Amazon,
"Lord, Have Mercy",Hahn,Scott,Religion,Catholicism,N,,,,$25.00 ,$17.24 ,2017,,Amazon,
The Lamb's Supper,Hahn,Scott,Religion,Catholicism,N,,,,$22.00 ,$22.00 ,2017,,Atlanta,
Rome Sweet Home,Hahn,Scott,Religion,Catholicism,N,,,,$16.95 ,$10.97 ,2016,,Amazon,
The Righteous Mind: How Good People are Divided by Politics & Religion,Haidt,Jonathan,Psychology,American,Y,,May-18,1,$16.95 ,$16.95 ,2018,2018,St. Louis,Barnes & Noble
Homo Deus,Harari,Yuval,Science,Science,N,,,,$35.00 ,$35.00 ,2017,,"Columbus, OH",
Sapiens,Harari,Yuval,Science,Science,N,,,,$35.00 ,$19.85 ,2017,,San Diego,
